name,union,gruene,spd,linke,afd,fdp,bsw
Berlin-Pankow,14.45,19.59,13.15,21.79,15.69,3.31,7.63
Berlin-Reinickendorf,26.43,12.83,17.28,11.82,17.37,4.5,5.31
Berlin-Spandau – Charlottenburg Nord,23.8,11.07,18.39,12.91,19.15,3.94,5.99
Berlin-Steglitz-Zehlendorf,26.79,19.8,18.22,11.44,10.32,5.94,3.91
Berlin-Charlottenburg-Wilmersdorf,23.11,21.74,17.91,14.52,8.87,6.4,4.32
Berlin-Tempelhof-Schöneberg,20.93,19.87,17.7,17.28,11.3,3.87,5.13
Berlin-Neukölln,18.04,15.33,15.74,25.27,13,2.78,5.59
Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,9.28,25.88,13.4,31.67,7.21,2.78,5.91
Berlin-Treptow-Köpenick,15.32,11.98,12.68,21.69,21.57,2.93,9.17
Berlin-Marzahn-Hellersdorf,16.5,6,10.89,16.67,31.19,2.56,10.94
Berlin-Lichtenberg,13.76,10.82,11.88,23.46,22.44,2.51,10.12
Aachen I,23.9,24.32,17.63,12.87,9.72,4.8,3.5
Aachen II,31.55,9.4,20.94,6.8,19.11,4.2,4.07
Heinsberg,35.23,8.73,17.09,6.32,20.13,4.18,3.89
Düren,33.34,8.47,18.54,6.42,20.51,4.29,4.24
Rhein-Erft-Kreis I,31.63,11.57,19.71,7.19,16.7,5,4.24
Euskirchen – Rhein-Erft-Kreis II,33.79,10.91,17.69,6.28,18.36,4.8,3.96
Köln I,22.29,17.92,19.56,14.92,12.38,4.21,4.71
Köln II,24.97,25.75,17.72,13.45,6.28,6.05,2.81
Köln III,19.32,21.84,19.9,16.34,11.2,3.39,4.27
Bonn,26.16,22.9,17.68,12.45,8.92,5.19,3.59
Rhein-Sieg-Kreis I,31.95,12.49,17.91,6.78,17.38,4.99,4.27
Rhein-Sieg-Kreis II,34.96,14.7,16.64,6.52,14.28,5.63,3.64
Oberbergischer Kreis,31.67,9.51,17.77,6.29,21.19,4.61,4.59
Rheinisch-Bergischer Kreis,33.78,15.04,18.49,6.53,13.27,5.56,3.4
Leverkusen – Köln IV,24.61,14.21,21.22,11.65,15.45,3.91,4.74
Wuppertal I,23.54,12.58,20.22,12.23,17.91,4.13,5.42
Solingen – Remscheid – Wuppertal II,28.47,11.2,20.1,8.43,18.28,4.74,4.68
Mettmann I,32.1,12.77,18.88,6.9,15.55,5.65,4.18
Mettmann II,32.03,11.25,19.44,7.09,16.83,5.28,4.29
Düsseldorf I,30.31,18.27,17.21,9.52,9.95,7.81,3.62
Düsseldorf II,25.15,17.06,18.88,11.77,12.97,5.45,4.79
Neuss I,32.87,10.71,18.62,7.42,16.93,5.24,4.29
Mönchengladbach,30.57,9.95,18.72,9.49,18.06,4.55,4.58
Krefeld I – Neuss II,34.08,12.26,18.12,7.03,14.63,6.19,3.85
Viersen,34.77,11.41,18.21,6.43,15.87,5.43,3.7
Kleve,36.52,10.47,18.75,6.41,16.05,4.47,3.34
Wesel I,31.48,9.49,23.18,6.58,17.35,4.25,3.7
Krefeld II – Wesel II,28.86,10.99,22.38,8.05,16.6,4.81,4.4
Duisburg I,22.95,10.66,25.71,10.41,17.31,3.35,5.08
Duisburg II,19.59,6.75,25.23,11.06,24.57,2.67,5.75
Oberhausen – Wesel III,24.94,8.89,25.17,8.25,20.39,3.39,4.73
Mülheim – Essen I,28.09,11,23.61,7.84,17.05,4.27,4.28
Essen II,22.31,8.98,23.15,10.65,21.98,2.97,5.47
Essen III,29.55,16.13,21.14,9.03,12.19,4.91,3.45
Recklinghausen I,27.38,9.7,23.29,7.5,20.17,3.57,4.41
Recklinghausen II,28.77,8.75,23.38,6.63,20.96,3.53,4
Gelsenkirchen,22.72,6.52,24.1,9.43,24.66,3.02,5.07
Steinfurt I – Borken I,38.81,10.47,18.58,6.34,14.83,4.21,3.23
Bottrop – Recklinghausen III,29.27,8.39,23.11,6.7,20.88,3.45,4.26
Borken II,42.37,10.66,17.38,5.45,13.3,4.41,2.95
Coesfeld – Steinfurt II,40.19,13.52,17.9,5.46,12.59,4.28,2.83
Steinfurt III,33.12,12.09,22.15,6.44,15.16,3.99,3.62
Münster,25.73,26.61,18.07,12.51,6.86,4.65,2.67
Warendorf,36.64,11.27,18.6,6.26,15.98,4.08,3.59
Gütersloh I,33.39,11.59,18.11,6.4,18.35,4.43,4.21
Bielefeld – Gütersloh II,23.34,16.53,20.34,13.18,14.37,4.17,4.55
Herford – Minden-Lübbecke II,27.77,9.7,21.49,7.12,21.29,4.13,4.82
Minden-Lübbecke I,27.49,9.48,22.15,6.63,21.75,4.18,4.46
Lippe I,27.13,10.61,20.91,6.8,21.79,4.25,4.45
Höxter – Gütersloh III – Lippe II,36.42,8.34,17,5.61,20.65,4.32,3.93
Paderborn,37.32,11.5,13.75,7.08,18.94,4.21,3.96
Hagen – Ennepe-Ruhr-Kreis I,28.38,8.8,21.41,7.81,20.88,3.86,4.79
Ennepe-Ruhr-Kreis II,27.32,12.54,23.75,7.5,16.76,4.07,4
Bochum I,23.53,14.89,24.2,12.08,13.82,3.65,3.9
Herne – Bochum II,22.75,8.93,25.85,9.59,20.93,2.97,4.63
Dortmund I,22.1,15.31,23.02,11.83,15.72,3.59,4.3
Dortmund II,23.5,11.28,24.47,10.16,18,3.53,4.78
Unna I,27.38,10.4,24.69,7.2,18.79,3.47,4
Hamm – Unna II,28.36,8.17,23.15,7.49,21.07,3.37,4.54
Soest,35.02,10.05,18.39,6.11,18.91,4.05,3.9
Hochsauerlandkreis,43.62,7.32,16.37,5.34,16.68,3.84,3.23
Siegen-Wittgenstein,31.56,8.57,19.92,7.24,20.28,3.96,4.47
Olpe – Märkischer Kreis I,38.89,7.22,16.44,5.48,20.51,3.95,4.08
Märkischer Kreis II,34.04,7.52,18.26,6.76,21.34,3.96,4.31
Nordsachsen,20.76,3.42,8.38,8,42.77,3.18,8.68
Leipzig I,17.43,10.79,10.08,21.05,25.29,3.18,7.76
Leipzig II,15.75,16.25,11.23,23.92,18.66,3.14,7.08
Leipzig-Land,22.26,4.6,8.82,8.76,38.48,3.42,8.59
Meißen,19.96,4.56,7.06,7.83,43.62,3.79,8.87
Bautzen I,20.04,2.92,6.46,7.76,46.02,3.11,9.15
Görlitz,19.75,3.35,6.38,7.73,46.68,2.91,8.98
Sächsische Schweiz-Osterzgebirge,19.33,3.96,5.96,7.35,46.53,3.24,9.17
Dresden I,19.88,12.25,9.91,13.82,27.37,3.85,8.4
Dresden II – Bautzen II,18.06,13.06,8.49,15.86,28.6,3.55,7.8
Mittelsachsen,20.61,3.51,7.56,8,43.46,3.17,9.44
Chemnitz,19.43,6.64,11.1,12.23,32.65,3.14,10.75
Chemnitzer Umland – Erzgebirgskreis II,21.22,3.25,8.55,7.8,41.12,3.17,10.45
Erzgebirgskreis I,20.63,2.24,6.6,6.98,46.16,2.95,9.85
Zwickau,21.22,3.28,8.93,8.54,40.56,3.05,10.18
Vogtlandkreis,21.61,3.15,8.8,7.77,40.61,2.91,11.05
Waldeck,28.77,8.55,22.86,6.13,21.09,3.98,4.37
Kassel,22.46,14.53,22.33,12.29,15.76,3.59,5.28
Werra-Meißner – Hersfeld-Rotenburg,28.42,7.25,22.19,6.25,23.22,3.82,4.17
Schwalm-Eder,27.41,7.81,22.4,5.67,23.75,4.06,4.29
Marburg,26.29,12.95,20.55,10.57,18.18,3.9,3.91
Lahn-Dill,30.16,8.8,18.87,6.64,22.76,4.07,4.25
Gießen,26.56,12.37,18.75,9.79,19.14,4.18,4.45
Fulda,37.57,7.6,12.84,5.23,23.58,4.9,3.59
Main-Kinzig – Wetterau II – Schotten,30.54,8.8,16.31,5.74,24.84,4.65,4.15
Hochtaunus,33.57,13.06,16.65,6.17,16.38,6.57,3.72
Wetterau I,30.75,13.24,17.59,7.13,17.38,5.36,3.84
Rheingau-Taunus – Limburg,33.43,12.19,16.98,6.31,17.59,5.6,3.71
Wiesbaden,26.62,15.96,17.47,11.51,14.09,5.59,4.92
Hanau,28.74,10.88,18.31,8.55,19.27,4.94,5
Main-Taunus,35.12,14.49,15.67,6.61,13.28,7.39,3.66
Frankfurt am Main I,23.51,18.05,17.1,15.39,10.75,6.63,5.2
Frankfurt am Main II,24.92,20.73,17.2,13.53,9.34,6.58,4.41
Groß-Gerau,27.18,11.35,20.07,9.95,16.93,4.49,5.66
Offenbach,27.74,13.09,17.45,11.5,15.17,5.41,5.65
Darmstadt,24.15,19.08,18.52,11.17,13.6,4.79,4.46
